,timestamp,eth_price
0,447072,738.89
1,447073,735.32
2,447074,749.56
3,447075,745.65
4,447076,746.06
5,447077,743.43
6,447078,741.54
7,447079,740.93
8,447080,738.42
9,447081,731.82
10,447082,734.86
11,447083,738.13
12,447084,739.93
13,447085,734.75
14,447086,741.74
15,447087,739.8
16,447088,737.09
17,447089,737.47
18,447090,729.63
19,447091,726.04
20,447092,727.03
21,447093,731.32
22,447094,729.88
23,447095,730.2
24,447096,730.07
25,447097,721.73
26,447098,731.23
27,447099,731.18
28,447100,732.1
29,447101,731.39
30,447102,734.25
31,447103,738.66
32,447104,737.07
33,447105,735.78
34,447106,726.83
35,447107,730.1
36,447108,731.56
37,447109,753.58
38,447110,771.99
39,447111,762.34
40,447112,770.41
41,447113,783.31
42,447114,780.52
43,447115,780.72
44,447116,785.99
45,447117,758.0
46,447118,769.33
47,447119,772.62
48,447120,775.37
49,447121,776.53
50,447122,778.65
51,447123,779.99
52,447124,773.63
53,447125,778.4
54,447126,786.44
55,447127,799.37
56,447128,800.28
57,447129,818.36
58,447130,818.22
59,447131,826.22
60,447132,831.49
61,447133,832.62
62,447134,874.32
63,447135,913.64
64,447136,917.49
65,447137,935.34
66,447138,942.39
67,447139,916.97
68,447140,921.39
69,447141,948.36
70,447142,950.64
71,447143,995.09
72,447144,980.34
73,447145,976.73
74,447146,967.8
75,447147,980.64
76,447148,1023.19
77,447149,1030.0
78,447150,1086.48
79,447151,1109.42
80,447152,1045.93
81,447153,1022.35
82,447154,969.21
83,447155,965.06
84,447156,976.95
85,447157,1021.46
86,447158,1012.58
87,447159,1044.62
88,447160,1040.97
89,447161,1010.5
90,447162,999.56
91,447163,1015.33
92,447164,1043.08
93,447165,1020.56
94,447166,1006.83
95,447167,1013.8
96,447168,1051.59
97,447169,1096.13
98,447170,1115.41
99,447171,1080.31
